Hora;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;
Alta_Floresta;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;54,8;-13,1;-18,7;-24,4;-37,4;-54;-68,8;-63;-28,6;-7,6;31,6;68,8;-999;;-13,4
CUIABA-MIRANDA;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;61,3;23,8;19,4;16,2;32;22,8;13,3;11,1;46;84,9;88;-999;-999;;38,1
Ji_Parana_SE;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-0,6;-2;-16,2;-24,5;-14,1;-1,4;22,9;27,5;35,5;55,4;70,1;-999;;13,9
BRB;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-10,3;-26,6;-48,7;-73,3;-94,7;-100,7;-95;-69,8;-32,5;25,2;63,5;-999;-999;;-42,1
CPA;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;18,6;16,4;0,4;0,4;10,5;11,3;4,5;8,8;24,2;36,9;56,7;-999;-999;;17,2
;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;12;13;14;15;16;17;18;19;20;21;22;;;;;;;;;;;;;;
Alta_Floresta;54,8;-13,1;-18,7;-24,4;-37,4;-54;-68,8;-63;-28,6;-7,6;31,6;68,8;;;;;;;;;;;;;;
CUIABA-MIRANDA;61,3;23,8;19,4;16,2;32;22,8;13,3;11,1;46;84,9;88;;;;;;;;;;;;;;;
Ji_Parana_SE;;-0,6;-2;-16,2;-24,5;-14,1;-1,4;22,9;27,5;35,5;55,4;70,1;;;;;;;;;;;;;;
BRB;;;;;;;;;;;;;;;;;;;;;;;;;;
CPA;18,6;16,4;0,4;0,4;10,5;11,3;4,5;8,8;24,2;36,9;56,7;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-13,1;-18,7;-24,4;-37,4;-54;-68,8;-63;-28,6;-7,6;;;;;;;;;;;;;;;;
;;23,8;19,4;16,2;32;22,8;13,3;11,1;46;84,9;;;;;;;;;;;;;;;;
;;-0,6;-2;-16,2;-24,5;-14,1;-1,4;22,9;27,5;35,5;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;16,4;0,4;0,4;10,5;11,3;4,5;8,8;24,2;36,9;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2,622222222;30,84343979;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;56,14444444;20,6487355;;;;;;;;;;;;;;;;;;;;;;;;
